Ques No.,Ques Type,Date,Ministry,Member,Subject,links
1199,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,Vijay Jawaharlal Darda,EXPANSION OF ICDS .,https://pqars.nic.in/annex/218/Au1199.pdf
1193,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,PRABHA THAKUR,SELLING OF CHILDREN AND GIRLS IN FOREIGN COUNTRIES,https://pqars.nic.in/annex/218/Au1193.pdf
150,STARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,K.E. ISMAIL,STATE COMMISSIONS FOR PROTECTION OF CHILD RIGHTS .,https://pqars.nic.in/annex/218/As150.pdf
1210,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,P. Rajeeve,PERMISSIBLE AMOUNT FOR ANGANWADIS IN URBAN AREAS,https://pqars.nic.in/annex/218/Au1210.pdf
1200,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,M.V. MYSURA REDDEY,RECONSTITUTION OF CENTRAL SOCIAL WELFARE BOARD .,https://pqars.nic.in/annex/218/Au1200.pdf
1196,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,BRIJ BHUSHAN TIWARI,STUNTED AND UNDERWEIGHT CHILDREN .,https://pqars.nic.in/annex/218/Au1196.pdf
1198,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,Abhishek Manu Singhvi,MALNOURISHED CHILDREN .,https://pqars.nic.in/annex/218/Au1198.pdf
1205,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,BHAGAT SINGH KOSHYARI,UNDERAGE MARRIAGE .,https://pqars.nic.in/annex/218/Au1205.pdf
1197,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,M.P. Achuthan,CHILD WELFARE COMMITTEE .,https://pqars.nic.in/annex/218/Au1197.htm
1202,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,JAYANTHI NATARAJAN,IRREGULARITIES IN CRECHE SCHEME .,https://pqars.nic.in/annex/218/Au1202.pdf
1208,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,JAYANTHI NATARAJAN,SOCIAL SECURITY SCHEMES FOR SINGLE WOMEN .,https://pqars.nic.in/annex/218/Au1208.pdf
1203,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,YOGENDRA P. TRIVEDI,PLIGHT OF STREET CHILDREN .,https://pqars.nic.in/annex/218/Au1203.pdf
1207,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,SYED AZEEZ PASHA,WORKING WOMEN S HOSTELS .,https://pqars.nic.in/annex/218/Au1207.pdf
155,STARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,Shantaram Naik,EXPLOITATION OF CHILDREN IN REALITY SHOWS .,https://pqars.nic.in/annex/218/As155.pdf
1211,UNSTARRED,30.11.2009,WOMEN AND CHILD DEVELOPMENT,Prabhat Jha,WOMEN TRAFFICKING .,https://pqars.nic.in/annex/218/Au1211.pdf
428,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,Najma A. Heptulla,REVIEW OF THE PROGRAMMES AND POLICIES,https://pqars.nic.in/annex/218/Au428.pdf
433,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,KALRAJ MISHRA,MISREPRESENTATION OF WOMEN,https://pqars.nic.in/annex/218/Au433.pdf
436,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,KALRAJ MISHRA,CHILD MARRIAGE,https://pqars.nic.in/annex/218/Au436.pdf
56,STARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,NANDI YELLAIAH,SPECIAL CELL FOR GIRLS FROM NER,https://pqars.nic.in/annex/218/As56.pdf
45,STARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,ALKA BALRAM KSHATRIYA,FUNDS FOR THE NATIONAL MISSION FOR EMPOWERMENT OF WOMEN .,https://pqars.nic.in/annex/218/As45.pdf
432,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,SHOBHANA BHARTIA,MALNUTRITION AMONG CHILDREN,https://pqars.nic.in/annex/218/Au432.htm
55,STARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,PRABHA THAKUR,CASES OF DOWRY DEATH AND HARASSMENT OF WOMEN .,https://pqars.nic.in/annex/218/As55.htm
425,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,PRABHA THAKUR,USE OF CHILDREN IN TV PROGRAMMES,https://pqars.nic.in/annex/218/Au425.pdf
44,STARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,K.E. ISMAIL,IMPLEMENTATION OF LAW PREVENTING DOMESTIC VIOLENCE .,https://pqars.nic.in/annex/218/As44.htm
43,STARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,MOINUL HASSAN,ALLOCATION FOR NATIONAL NUTRITION MISSION .,https://pqars.nic.in/annex/218/As43.pdf
429,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,SHYAMAL CHAKRABORTY,ANGANWADI CENTRES,https://pqars.nic.in/annex/218/Au429.pdf
430,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,SHYAMAL CHAKRABORTY,SELF HELP GROUPS UNDER SWAYAMSIDDHA SCHEME,https://pqars.nic.in/annex/218/Au430.htm
58,STARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,SHYAMAL CHAKRABORTY,ANGANWADI WORKERS,https://pqars.nic.in/annex/218/As58.pdf
434,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,JAYANTHI NATARAJAN,VIOLENCE AND CRIME AGAINST CHILDREN,https://pqars.nic.in/annex/218/Au434.pdf
435,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,JAYANTHI NATARAJAN,COMMITTEE TO HEAR SEXUAL HARASSMENT AT WORK PLACES,https://pqars.nic.in/annex/218/Au435.pdf
431,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,Kaptan Singh Solanki,LIVING STANDARDS OF WOMEN,https://pqars.nic.in/annex/218/Au431.pdf
427,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,MAHENDRA MOHAN,NATIONAL MISSION FOR WOMEN,https://pqars.nic.in/annex/218/Au427.pdf
426,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,Prakash Javadekar,WOMEN AND CHILD TRAFFICKING,https://pqars.nic.in/annex/218/Au426.pdf
424,UNSTARRED,23.11.2009,WOMEN AND CHILD DEVELOPMENT,N.K. SINGH,DISTRIBUTION OF FOOD TO MALNOURISHED CHILDREN,https://pqars.nic.in/annex/218/Au424.pdf
3341,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,Mohsina Kidwai,MALNORUISHED WOMEN .,https://pqars.nic.in/annex/217/Au3341.htm
3339,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,MAYA SINGH,PLAN FOR POOR AND WEAKER WOMEN .,https://pqars.nic.in/annex/217/Au3339.pdf
3340,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,DARA SINGH,ANAEMIA IN UNDER FIVE CHILDREN OF RAJASTHAN .,https://pqars.nic.in/annex/217/Au3340.pdf
3342,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,BRINDA KARAT,LEGISLATION FOR SEXUAL HARASSMENT AT WORK PLACE .,https://pqars.nic.in/annex/217/Au3342.pdf
433,STARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,BRIJ BHUSHAN TIWARI,MALNOURISHED CHILDREN .,https://pqars.nic.in/annex/217/As433.pdf
3345,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,ANUSUIYA UIKEY,COMPLAINTS TO NCW,https://pqars.nic.in/annex/217/Au3345.pdf
3343,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,GYAN PRAKASH PILANIA,MORTALITY OF GIRLS .,https://pqars.nic.in/annex/217/Au3343.pdf
3344,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,GYAN PRAKASH PILANIA,WORKING WOMEN S HOSTELS .,https://pqars.nic.in/annex/217/Au3344.pdf
3338,UNSTARRED,03.08.2009,WOMEN AND CHILD DEVELOPMENT,N.K. SINGH,UNESCO S COMMENTS ON ICDS .,https://pqars.nic.in/annex/217/Au3338.pdf
327,STARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,E.M. Sudarsana Natchiappan,SCHEMES FOR WELFARE OF WORKING CHILDREN .,https://pqars.nic.in/annex/217/As327.pdf
2562,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,B.S. GNANADESIKAN,SOCIAL SECURITY TO DOMESTIC WORKERS .,https://pqars.nic.in/annex/217/Au2562.pdf
339,STARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,SANTOSH BAGRODIA,INTEGRATED PROGRAMME FOR STREET CHILDREN .,https://pqars.nic.in/annex/217/As339.pdf
337,STARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,GIREESH KUMAR SANGHI,FOUDING PATTERN FOR IPSC .,https://pqars.nic.in/annex/217/As337.pdf
2569,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,Mohsina Kidwai,NATIONAL MISSION ON EMPOWERMENT OF WOMEN .,https://pqars.nic.in/annex/217/Au2569.pdf
2570,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,S. ANBALAGAN,WELFARE OF GIRL CHILD .,https://pqars.nic.in/annex/217/Au2570.htm
2564,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,MAYA SINGH,WORKING WOMEN S HOSTELS IN M.P. .,https://pqars.nic.in/annex/217/Au2564.pdf
2567,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,SUSHILA TIRIYA,RETENTION OF HIGH MALNUTRITION RATE,https://pqars.nic.in/annex/217/Au2567.pdf
2563,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,SABIR ALI,SCHEMES FOR DEVELOPMETN OF WOMEN AND CHILDREN .,https://pqars.nic.in/annex/217/Au2563.pdf
2566,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,O.T. LEPCHA,CHILD BUDGETING .,https://pqars.nic.in/annex/217/Au2566.pdf
340,STARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,HEMA MALINI,VIOLATION OF SC GUIDELINES ON PRE SCHOOLING .,https://pqars.nic.in/annex/217/As340.pdf
2568,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,HEMA MALINI,AMENDMENT IN THE SATI PREVENTION ACT .,https://pqars.nic.in/annex/217/Au2568.pdf
2565,UNSTARRED,27.07.2009,WOMEN AND CHILD DEVELOPMENT,GYAN PRAKASH PILANIA,DOMESTIC VIOLENCE AND CHILD MARRIAGE .,https://pqars.nic.in/annex/217/Au2565.pdf
1790,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,ALKA BALRAM KSHATRIYA,COMMITTEE ON STAUTS OF WOMEN .,https://pqars.nic.in/annex/217/Au1790.pdf
1789,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,GYAN PRAKASH PILANIA,MALNUTRITION OF UNDER THREE CHILDREN .,https://pqars.nic.in/annex/217/Au1789.pdf
1785,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,SABIR ALI,COOKED MEALS IN ANGANWADIS .,https://pqars.nic.in/annex/217/Au1785.pdf
226,STARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,SABIR ALI,NUTRITION DELIVERY PROGRAMME .,https://pqars.nic.in/annex/217/As226.pdf
1784,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,KRISHAN LAL BALMIKI,PATRONAGE FOR DESTITUTE CHILDREN .,https://pqars.nic.in/annex/217/Au1784.pdf
1788,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,BRIJ BHUSHAN TIWARI,TRAFFICKING OF WOMEN AND CHILDREN .,https://pqars.nic.in/annex/217/Au1788.pdf
1795,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,Abdul Wahab,LEADARSHIP TRAINING TO MINORITY WOMEN .,https://pqars.nic.in/annex/217/Au1795.pdf
1793,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,Mohd. Ali Khan,FUNDS FOR CHILD WELFARE SCHEMES .,https://pqars.nic.in/annex/217/Au1793.pdf
1794,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,ANUSUIYA UIKEY,CHAIRMAN AND MEMBERS OF NCW,https://pqars.nic.in/annex/217/Au1794.pdf
1792,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,ANUSUIYA UIKEY,WORKSHOPS AND SEMINARS OF NCW,https://pqars.nic.in/annex/217/Au1792.pdf
1791,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,HEMA MALINI,CONTRACTORS UNDER ICDS .,https://pqars.nic.in/annex/217/Au1791.pdf
1787,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,Shantaram Naik,ANGANWADIS IN GOA .,https://pqars.nic.in/annex/217/Au1787.pdf
1786,UNSTARRED,20.07.2009,WOMEN AND CHILD DEVELOPMENT,A. ELAVARASAN,ANAEMIC CHILDREN IN TAMIL NADU .,https://pqars.nic.in/annex/217/Au1786.pdf
1011,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,SANTOSH BAGRODIA,CRECHES UNDER GENDER BUDGETING .,https://pqars.nic.in/annex/217/Au1011.pdf
1010,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,GIREESH KUMAR SANGHI,VISION DOCUMENT FOR WOMEN AND CHILD DEVELOPMENT .,https://pqars.nic.in/annex/217/Au1010.pdf
1009,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,E.M. Sudarsana Natchiappan,CRECHES FOR WORKING WOMEN .,https://pqars.nic.in/annex/217/Au1009.pdf
1007,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,Sanjay Raut,HONORARIUM FOR ANGANWADI WORKERS .,https://pqars.nic.in/annex/217/Au1007.pdf
1017,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,TARIQ ANWAR,PRIYADARSHINI PROJECT .,https://pqars.nic.in/annex/217/Au1017.pdf
1012,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,MAHMOOD A. MADANI,GUIDELINES FOR RAJIV GANDHI NATIONAL CRECHE SCHEME .,https://pqars.nic.in/annex/217/Au1012.htm
1014,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,PRABHA THAKUR,WOMEN IN SHELTER HOMES .,https://pqars.nic.in/annex/217/Au1014.htm
1020,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,PRABHA THAKUR,CONGENIAL ENVIRONMENT IN JUVENILE HOMES .,https://pqars.nic.in/annex/217/Au1020.pdf
1008,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,RUDRA NARAYAN PANY,SURVEY OF ORPHANS .,https://pqars.nic.in/annex/217/Au1008.htm
1018,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,P. Rajeeve,ALLOCATIONS FOR ICDS PROJECTS .,https://pqars.nic.in/annex/217/Au1018.pdf
1019,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,ANUSUIYA UIKEY,ALLOCATIONS FOR NCW,https://pqars.nic.in/annex/217/Au1019.htm
1015,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,Prabhat Jha,EXPLOITATION OF WOMEN .,https://pqars.nic.in/annex/217/Au1015.htm
1013,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,Prakash Javadekar,FLEEING OF CHILDREN FORM JUVENILE HOMES .,https://pqars.nic.in/annex/217/Au1013.pdf
1016,UNSTARRED,13.07.2009,WOMEN AND CHILD DEVELOPMENT,T. RATNA BAI,NUTRITIOUS FOOD TO CHILDREN UNDER ICDS .,https://pqars.nic.in/annex/217/Au1016.pdf
2305,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,SYEDA ANWARA TAIMUR,CHILD PROTECTION UNITS .,https://pqars.nic.in/annex/214/Au2305.pdf
2324,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,BHAGWATI SINGH,HUNGER AND MALNUTRITION FREE LIFE .,https://pqars.nic.in/annex/214/Au2324.htm
2317,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,A. VIJAYARAGHAVAN,RESTRUCTURING OF ICDS .,https://pqars.nic.in/annex/214/Au2317.pdf
2310,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,B.K. Hariprasad,CHILD FREE ZONES .,https://pqars.nic.in/annex/214/Au2310.pdf
2316,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,GIREESH KUMAR SANGHI,SETTING UP OF COUNCIL ON NUTRITIONAL CHALLENGES .,https://pqars.nic.in/annex/214/Au2316.pdf
2304,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,ALKA BALRAM KSHATRIYA,IMPLEMENTATION OF ICPS .,https://pqars.nic.in/annex/214/Au2304.pdf
2312,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,AMIR ALAM KHAN,CONSTRUCTION OF WORKING WOMEN S HOSTELS .,https://pqars.nic.in/annex/214/Au2312.pdf
2322,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,S. ANBALAGAN,CHILDREN SUFFERING FROM MALNUTRITION .,https://pqars.nic.in/annex/214/Au2322.htm
2306,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,GYAN PRAKASH PILANIA,PROBLEM OF MALNUTRITION AND ANAEMIA .,https://pqars.nic.in/annex/214/Au2306.htm
2320,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,B.J. PANDA,REHABILITATION OF TRAFFICKED VICTIMS . MS. MABEL REBELLO,https://pqars.nic.in/annex/214/Au2320.pdf
2319,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,VIJAYKUMAR RUPANI,MISSING CHILDREN .,https://pqars.nic.in/annex/214/Au2319.htm
288,STARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,Ambeth Rajan,WELFARE OF STREET CHILDREN .,https://pqars.nic.in/annex/214/As288.pdf
2311,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,BRINDA KARAT,WORLD BANK RECOMMENDATIONS ON ICDS .,https://pqars.nic.in/annex/214/Au2311.pdf
2318,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,MOINUL HASSAN,STATE OF OBSERVATION HOMES .,https://pqars.nic.in/annex/214/Au2318.pdf
2315,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,AJAY SINGH CHAUTALA,SEXUAL ASSAULT ON WOMEN AND GIRLS .,https://pqars.nic.in/annex/214/Au2315.pdf
287,STARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,JANARDHAN WAGHMARE,STREAMLINING PROCEDURE FOR COOKED MEALS TO CHILDREN .,https://pqars.nic.in/annex/214/As287.pdf
2321,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,BANWARI LAL KANCHHAL,SHORTCOMINGS IN ICDS .,https://pqars.nic.in/annex/214/Au2321.pdf
285,STARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,VASANTHI STANLEY,MISUSE OF LAWS BY WOMEN .,https://pqars.nic.in/annex/214/As285.pdf
2307,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,SYED AZEEZ PASHA,OPENING OF ANGANWADI CENTRES .,https://pqars.nic.in/annex/214/Au2307.htm
2303,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,Mohsina Kidwai,LEGAL AND FINANCIAL ASSISTANCE TO WOMEN .,https://pqars.nic.in/annex/214/Au2303.pdf
2323,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,HEMA MALINI,VIOLATION OF COURT GUIDELINES BY SCHOOLS .,https://pqars.nic.in/annex/214/Au2323.pdf
2308,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,Shantaram Naik,AMENDMENT IN NATIONAL COMMISSION FOR WOMEN ACT .,https://pqars.nic.in/annex/214/Au2308.pdf
2309,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,Prakash Javadekar,REVITALIZING ICDS .,https://pqars.nic.in/annex/214/Au2309.pdf
2313,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,T. RATNA BAI,SUPPLEMENTARY NUTRITION UNDER ICDS .,https://pqars.nic.in/annex/214/Au2313.pdf
2314,UNSTARRED,22.12.2008,WOMEN AND CHILD DEVELOPMENT,T. RATNA BAI,SERVICES FOR CHILDREN .,https://pqars.nic.in/annex/214/Au2314.pdf
1548,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,Najma A. Heptulla,CHILD CARE CENTRES UNDER ICDS .,https://pqars.nic.in/annex/214/Au1548.htm
1534,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,BHAGWATI SINGH,CHILD DEATHS DUE TO MALNUTRITION .,https://pqars.nic.in/annex/214/Au1534.pdf
1538,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,A. VIJAYARAGHAVAN,IMPLEMENTATION OF BALIKA SAMRIDHI YAJANA .,https://pqars.nic.in/annex/214/Au1538.htm
1536,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,A. VIJAYARAGHAVAN,DISTRIBUTION OF COOKED FOOD UNDER ICDS .,https://pqars.nic.in/annex/214/Au1536.pdf
1539,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,K. CHANDRAN PILLAI,HUMAN DEVELOPMENT INDEX .,https://pqars.nic.in/annex/214/Au1539.pdf
1537,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,B.J. PANDA,OBSERVATION HOMES FOR CHILDREN .,https://pqars.nic.in/annex/214/Au1537.pdf
1546,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,VIJAYKUMAR RUPANI,ANAEMIA DUE TO MALNUTRITION .,https://pqars.nic.in/annex/214/Au1546.htm
1547,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,PYARELAL KHANDELWAL,DOWRY RELATED AND WOMEN HARASSMENT CASES .,https://pqars.nic.in/annex/214/Au1547.pdf
1541,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,BRINDA KARAT,REVISED IMPLEMENTATION FRAME WORK FOR ICDS .,https://pqars.nic.in/annex/214/Au1541.pdf
1542,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,BRINDA KARAT,CHILD SEXUAL ASSAULT .,https://pqars.nic.in/annex/214/Au1542.htm
1535,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,N.R. GOVINDARAJAR,FORTIFIED FOOD UNDER ICDS .,https://pqars.nic.in/annex/214/Au1535.pdf
1545,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,Viplove Thakur,PROBLEM OF MALNUTRITION AMONG CHILDREN .,https://pqars.nic.in/annex/214/Au1545.pdf
186,STARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,BRINDA KARAT,LEGISLATIVE PROPOSALS ON CHILD SEXUAL ABUSE .,https://pqars.nic.in/annex/214/As186.pdf
1533,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,KAMAL AKHTAR,UNDERWEIGHT CHILDREN IN THE COUNTRY .,https://pqars.nic.in/annex/214/Au1533.htm
1544,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,Jaya Bachchan,CHILD MARRIAGES .,https://pqars.nic.in/annex/214/Au1544.pdf
1543,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,Mohsina Kidwai,WORKING CONDITIONS OF CHILD ARTISTS .,https://pqars.nic.in/annex/214/Au1543.pdf
1549,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,A. ELAVARASAN,DEATHS DUE TO MALNUTRITION .,https://pqars.nic.in/annex/214/Au1549.pdf
1532,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,Prabhat Jha,NATIONAL HUMAN RIGHTS COMMISSION S REPORT ON MALNUTRITION .,https://pqars.nic.in/annex/214/Au1532.pdf
1540,UNSTARRED,15.12.2008,WOMEN AND CHILD DEVELOPMENT,T. RATNA BAI,PRE PACKAGED AND MICRONUTRIENT FORTIFIED MEALS FOR WOMEN AND CHILDREN .,https://pqars.nic.in/annex/214/Au1540.pdf
304,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,Amar Singh,MISUSE OF ANTI DOWRY ACT .,https://pqars.nic.in/annex/214/Au304.htm
300,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,C. RAMACHANDRAIAH,UN ASSISTANCE FOR WOMEN AND CHILDREN .,https://pqars.nic.in/annex/214/Au300.pdf
28,STARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,MABEL REBELLO,AGREEMENT FOR CHILD PROTECTION WITH UNICEF,https://pqars.nic.in/annex/214/As28.pdf
309,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,SAMAN PATHAK,LEGISLATION FOR CRIMINAL INDULGING IN SEXUAL EXPLOITATION OF WOMEN AND MINOR GIRLS .,https://pqars.nic.in/annex/214/Au309.pdf
298,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,SAMAN PATHAK,PREVENTING TRAFFICKING OF INDIAN WOMEN AND CHILDREN .,https://pqars.nic.in/annex/214/Au298.pdf
301,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,SAMAN PATHAK,GRANTS TO VOLUNTARY ORGANIZATIONS FOR THE DEVELOPMENT OF TORMENTED WOMEN AND CHILDREN .,https://pqars.nic.in/annex/214/Au301.pdf
305,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,SUSHMA SWARAJ,CHILD TRAFFICKING GANG .,https://pqars.nic.in/annex/214/Au305.pdf
303,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,LALIT KISHORE CHATURVEDI,DOMESTIC VIOLENCE ACT .,https://pqars.nic.in/annex/214/Au303.htm
299,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,BRINDA KARAT,COMPULSORY REGISTRATION OF MARRIAGES .,https://pqars.nic.in/annex/214/Au299.pdf
306,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,JAI PARKASH AGGARWAL,DOWRY PROHIBITION .,https://pqars.nic.in/annex/214/Au306.pdf
22,STARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,SHREEGOPAL VYAS,BEGGARS SELLING CHILDREN IN KOLKATA .,https://pqars.nic.in/annex/214/As22.pdf
308,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,GYAN PRAKASH PILANIA,FINDINGS OF NFHS III .,https://pqars.nic.in/annex/214/Au308.pdf
302,UNSTARRED,20.10.2008,WOMEN AND CHILD DEVELOPMENT,MAHENDRA MOHAN,MALNUTRITION IN M.P. .,https://pqars.nic.in/annex/214/Au302.pdf
